geoid,county,state,centralScore
48215,Hidalgo,Texas,0.4928801102434543
10003,New Castle,Delaware,0.49280465401102264
39153,Summit,Ohio,0.49257842387146134
01089,Madison,Alabama,0.49257842387146134
18057,Hamilton,Indiana,0.4925030599755202
34025,Monmouth,New Jersey,0.49235240134597735
19113,Linn,Iowa,0.4922771065912219
13063,Clayton,Georgia,0.4921265861489069
21067,Fayette,Kentucky,0.49182582123758595
13051,Chatham,Georgia,0.49182582123758595
45019,Charleston,South Carolina,0.49182582123758595
12105,Polk,Florida,0.49167557659996947
31153,Sarpy,Nebraska,0.49167557659996947
32031,Washoe,Nevada,0.49167557659996947
27163,Washington,Minnesota,0.4916004886988393
53011,Clark,Washington,0.4911504424778761
08123,Weld,Colorado,0.4910006101281269
46099,Minnehaha,South Dakota,0.49070121951219514
26161,Washtenaw,Michigan,0.4906264288980338
12115,Sarasota,Florida,0.4905516610789393
06029,Kern,California,0.4905516610789393
12081,Manatee,Florida,0.48950729927007297
45013,Beaufort,South Carolina,0.48950729927007297
25027,Worcester,Massachusetts,0.4893584676193372
48027,Bell,Texas,0.489209726443769
51510,Alexandria city,Virginia,0.489209726443769
09009,New Haven,Connecticut,0.4887640449438202
34021,Mercer,New Jersey,0.48861566484517305
51810,Virginia Beach city,Virginia,0.48861566484517305
12021,Collier,Florida,0.48839326354119256
29047,Clay,Missouri,0.48839326354119256
37067,Forsyth,North Carolina,0.48831917475728154
42129,Westmoreland,Pennsylvania,0.48831917475728154
28049,Hinds,Mississippi,0.4880230442692541
36067,Onondaga,New York,0.4878751136708093
41005,Clackamas,Oregon,0.4878751136708093
48167,Galveston,Texas,0.48743185947910356
33011,Hillsborough,New Hampshire,0.48713680387409203
12033,Escambia,Florida,0.48713680387409203
34005,Burlington,New Jersey,0.4870630957784839
34017,Hudson,New Jersey,0.4866948896280617
53063,Spokane,Washington,0.48662131519274376
42045,Delaware,Pennsylvania,0.48662131519274376
25009,Essex,Massachusetts,0.48640072529465095
51087,Henrico,Virginia,0.48640072529465095
41067,Washington,Oregon,0.48640072529465095
42125,Washington,Pennsylvania,0.48632723976431486
39095,Lucas,Ohio,0.4862537764350453
39151,Stark,Ohio,0.48618033529678295
17119,Madison,Illinois,0.4860335195530726
12109,St. Johns,Florida,0.485740153915799
47165,Sumner,Tennessee,0.48566686783343394
42071,Lancaster,Pennsylvania,0.4853739445114596
37133,Onslow,North Carolina,0.48530076888285845
05143,Washington,Arkansas,0.4851544837980407
12091,Okaloosa,Florida,0.48493522145224466
13117,Forsyth,Georgia,0.484789156626506
27003,Anoka,Minnesota,0.484789156626506
45063,Lexington,South Carolina,0.48449729078868153
12117,Seminole,Florida,0.4843514896178152
23005,Cumberland,Maine,0.4843514896178152
17111,McHenry,Illinois,0.4842786219347074
18141,St. Joseph,Indiana,0.4842786219347074
25021,Norfolk,Massachusetts,0.4842057761732852
42041,Cumberland,Pennsylvania,0.48406015037593986
54039,Kanawha,West Virginia,0.48406015037593986
18003,Allen,Indiana,0.4839873703202526
34007,Camden,New Jersey,0.48391461214672277
42133,York,Pennsylvania,0.4838418758454832
25005,Bristol,Massachusetts,0.4837691614066727
01101,Montgomery,Alabama,0.4837691614066727
22017,Caddo Parish,Louisiana,0.4835511491662911
45051,Horry,South Carolina,0.4835511491662911
36055,Monroe,New York,0.48326077165590753
39017,Butler,Ohio,0.4831157136425034
17163,St. Clair,Illinois,0.4828258587070646
28047,Harrison,Mississippi,0.4823194486065328
27137,St. Louis,Minnesota,0.4821027407518347
26065,Ingham,Michigan,0.4821027407518347
42043,Dauphin,Pennsylvania,0.4819583770025453
27171,Wright,Minnesota,0.4818140996856758
37097,Iredell,North Carolina,0.4818140996856758
33015,Rockingham,New Hampshire,0.4817419934151452
48041,Brazos,Texas,0.4817419934151452
17113,McLean,Illinois,0.48166990872362714
01069,Houston,Alabama,0.48159784560143626
51041,Chesterfield,Virginia,0.48138178555406014
24027,Howard,Maryland,0.4813098086124402
06111,Ventura,California,0.4810940068749066
19103,Johnson,Iowa,0.48102211595935446
42077,Lehigh,Pennsylvania,0.4809502465262214
20177,Shawnee,Kansas,0.4808783985658799
53061,Snohomish,Washington,0.4808783985658799
42011,Berks,Pennsylvania,0.48059122126007764
45091,York,South Carolina,0.48059122126007764
48355,Nueces,Texas,0.4804477611940299
36001,Albany,New York,0.48016109785202865
44007,Providence,Rhode Island,0.48008948545861296
20209,Wyandotte,Kansas,0.4800178944229049
51153,Prince William,Virginia,0.4798747763864043
36005,Bronx,New York,0.4798747763864043
39041,Delaware,Ohio,0.4798747763864043
51710,Norfolk city,Virginia,0.4798032493665226
17201,Winnebago,Illinois,0.4798032493665226
47149,Rutherford,Tennessee,0.4797317436661699
42079,Luzerne,Pennsylvania,0.47958879618593564
37129,New Hanover,North Carolina,0.47951735438701026
37021,Buncombe,North Carolina,0.4794459338695264
40027,Cleveland,Oklahoma,0.4794459338695264
13057,Cherokee,Georgia,0.4794459338695264
34029,Ocean,New Jersey,0.47930315664085765
30111,Yellowstone,Montana,0.4792317999106744
34039,Union,New Jersey,0.47901785714285716
29019,Boone,Missouri,0.4789465853295641
40017,Canadian,Oklahoma,0.4789465853295641
39165,Warren,Ohio,0.4789465853295641
01003,Baldwin,Alabama,0.4787328970850684
06019,Fresno,California,0.4785905441570027
04021,Pinal,Arizona,0.4785905441570027
27139,Scott,Minnesota,0.4783060921248143
26093,Livingston,Michigan,0.478235031941762
06083,Santa Barbara,California,0.478235031941762
51760,Richmond city,Virginia,0.47802197802197804
27145,Stearns,Minnesota,0.47802197802197804
29097,Jasper,Missouri,0.47788004750593827
56021,Laramie,Wyoming,0.4778091138488942
38053,McKenzie,North Dakota,0.477667309689865
48423,Smith,Texas,0.4774547611984574
18157,Tippecanoe,Indiana,0.47731316725978645
45083,Spartanburg,South Carolina,0.4771716572783872
39099,Mahoning,Ohio,0.47710093374833257
25013,Hampden,Massachusetts,0.4770302311796088
13113,Fayette,Georgia,0.4769595495628982
25023,Plymouth,Massachusetts,0.4765358993338268
48039,Brazoria,Texas,0.4763243563184374
01117,Shelby,Alabama,0.4761834319526627
48309,McLennan,Texas,0.4761834319526627
18163,Vanderburgh,Indiana,0.4761130010353498
42095,Northampton,Pennsylvania,0.47597220168564247
22055,Lafayette Parish,Louisiana,0.47597220168564247
29169,Pulaski,Missouri,0.47597220168564247
24021,Frederick,Maryland,0.4759018332347723
36091,Saratoga,New York,0.47583148558758315
45003,Aiken,South Carolina,0.47555030285123356
48245,Jefferson,Texas,0.47555030285123356
51550,Chesapeake city,Virginia,0.47555030285123356
26049,Genesee,Michigan,0.4753396337861784
13021,Bibb,Georgia,0.4750590318772137
06077,San Joaquin,California,0.4750590318772137
48061,Cameron,Texas,0.47491885511950427
12069,Lake,Florida,0.474708745022858
28121,Rankin,Mississippi,0.4746387496313772
27111,Otter Tail,Minnesota,0.4746387496313772
42019,Butler,Pennsylvania,0.4746387496313772
26139,Ottawa,Michigan,0.4745687748783724
12073,Leon,Florida,0.4744288872512896
26077,Kalamazoo,Michigan,0.47435897435897434
42049,Erie,Pennsylvania,0.47428908206866066
02185,North Slope Borough,Alaska,0.47414935925762264
55101,Racine,Wisconsin,0.47414935925762264
35049,Santa Fe,New Mexico,0.4739399293286219
12083,Marion,Florida,0.4739399293286219
27019,Carver,Minnesota,0.47359129027512137
39093,Lorain,Ohio,0.4733823529411765
27035,Crow Wing,Minnesota,0.4732431637753602
18039,Elkhart,Indiana,0.4731735998824048
26075,Jackson,Michigan,0.4731040564373898
49011,Davis,Utah,0.47282608695652173
22109,Terrebonne Parish,Louisiana,0.4727566456160963
55087,Outagamie,Wisconsin,0.47261782410806047
29165,Platte,Missouri,0.472479084103919
19169,Story,Iowa,0.47240974464338126
04005,Coconino,Arizona,0.4723404255319149
39025,Clermont,Ohio,0.4720633523977123
40031,Comanche,Oklahoma,0.4719941348973607
18063,Hendricks,Indiana,0.47185576077396657
48329,Midland,Texas,0.47185576077396657
37035,Catawba,North Carolina,0.47178660413307927
12005,Bay,Florida,0.47144112478031636
48303,Lubbock,Texas,0.47130307467057103
27109,Olmsted,Minnesota,0.4712340799297321
22115,Vernon Parish,Louisiana,0.47102721685689203
26021,Berrien,Michigan,0.47102721685689203
30031,Gallatin,Montana,0.47047646886875183
48209,Hays,Texas,0.4703389830508475
22057,Lafourche Parish,Louisiana,0.4702702702702703
48181,Grayson,Texas,0.47020157756354075
19163,Scott,Iowa,0.47020157756354075
47125,Montgomery,Tennessee,0.47020157756354075
21093,Hardin,Kentucky,0.47020157756354075
42081,Lycoming,Pennsylvania,0.47020157756354075
13215,Muscogee,Georgia,0.47020157756354075
17143,Peoria,Illinois,0.4701329049218636
09011,New London,Connecticut,0.4701329049218636
26147,St. Clair,Michigan,0.46992700729927006
50007,Chittenden,Vermont,0.46978984238178634
36071,Orange,New York,0.4694472801516698
13053,Chattahoochee,Georgia,0.4693788276465442
17167,Sangamon,Illinois,0.46896853146853146
47189,Wilson,Tennessee,0.4689002184996358
18091,LaPorte,Indiana,0.4687636522498908
22103,St. Tammany Parish,Louisiana,0.4684907582593509
21015,Boone,Kentucky,0.4684907582593509
01125,Tuscaloosa,Alabama,0.46835443037974683
25001,Barnstable,Massachusetts,0.4682862961885365
13151,Henry,Georgia,0.4682181818181818
35043,Sandoval,New Mexico,0.46815008726003493
48485,Wichita,Texas,0.46815008726003493
17161,Rock Island,Illinois,0.46774193548387094
40131,Rogers,Oklahoma,0.46774193548387094
42027,Centre,Pennsylvania,0.467673979369461
22015,Bossier Parish,Louisiana,0.467673979369461
41047,Marion,Oregon,0.46719883889695213
34015,Gloucester,New Jersey,0.4669955026838822
51700,Newport News city,Virginia,0.4669277632724108
06041,Marin,California,0.4669277632724108
08067,La Plata,Colorado,0.466792343387471
06095,Solano,California,0.4665893607769242
05045,Faulkner,Arkansas,0.46652173913043476
12113,Santa Rosa,Florida,0.46652173913043476
37135,Orange,North Carolina,0.46638655462184875
26145,Saginaw,Michigan,0.46631899174272057
36093,Schenectady,New York,0.46631899174272057
12097,Osceola,Florida,0.46625144843568944
39155,Trumbull,Ohio,0.46625144843568944
34031,Passaic,New Jersey,0.466183924692252
45015,Berkeley,South Carolina,0.46604893586216883
49057,Weber,Utah,0.4659140251845419
42007,Beaver,Pennsylvania,0.4658465991316932
06097,Sonoma,California,0.4657791925915208
13097,Douglas,Georgia,0.46557708996239516
53035,Kitsap,Washington,0.46557708996239516
47163,Sullivan,Tennessee,0.4655097613882863
22079,Rapides Parish,Louisiana,0.46544245228455755
12053,Hernando,Florida,0.46544245228455755
27007,Beltrami,Minnesota,0.46524064171123
48479,Webb,Texas,0.46524064171123
