geoid,county,state,communityId,intermediateCommunityIds
47029,Cocke,Tennessee,285,[285]
47089,Jefferson,Tennessee,285,[285]
47129,Morgan,Tennessee,285,[285]
47001,Anderson,Tennessee,285,[285]
47009,Blount,Tennessee,285,[285]
47013,Campbell,Tennessee,285,[285]
47073,Hawkins,Tennessee,285,[285]
47151,Scott,Tennessee,285,[285]
47155,Sevier,Tennessee,285,[285]
47063,Hamblen,Tennessee,285,[285]
47025,Claiborne,Tennessee,285,[285]
47059,Greene,Tennessee,285,[285]
47163,Sullivan,Tennessee,285,[285]
47179,Washington,Tennessee,285,[285]
47173,Union,Tennessee,285,[285]
51105,Lee,Virginia,285,[285]
51720,Norton city,Virginia,285,[285]
51169,Scott,Virginia,285,[285]
47105,Loudon,Tennessee,285,[285]
47057,Grainger,Tennessee,285,[285]
47067,Hancock,Tennessee,285,[285]
47145,Roane,Tennessee,285,[285]
02013,Aleutians East Borough,Alaska,669,[669]
02016,Aleutians West Census Area,Alaska,669,[669]
02020,Anchorage Municipality,Alaska,669,[669]
02070,Dillingham Census Area,Alaska,669,[669]
02122,Kenai Peninsula Borough,Alaska,669,[669]
02240,Southeast Fairbanks Census Area,Alaska,669,[669]
02198,Prince of Wales-Hyder Census Area,Alaska,669,[669]
02275,Wrangell City and Borough,Alaska,669,[669]
02068,Denali Borough,Alaska,669,[669]
02100,Haines Borough,Alaska,669,[669]
02105,Hoonah-Angoon Census Area,Alaska,669,[669]
02195,Petersburg Borough,Alaska,669,[669]
02282,Yakutat City and Borough,Alaska,669,[669]
02164,Lake and Peninsula Borough,Alaska,669,[669]
02170,Matanuska-Susitna Borough,Alaska,669,[669]
02050,Bethel Census Area,Alaska,669,[669]
02150,Kodiak Island Borough,Alaska,669,[669]
02158,Kusilvak Census Area,Alaska,669,[669]
02060,Bristol Bay Borough,Alaska,669,[669]
02090,Fairbanks North Star Borough,Alaska,669,[669]
02110,Juneau City and Borough,Alaska,669,[669]
02130,Ketchikan Gateway Borough,Alaska,669,[669]
02180,Nome Census Area,Alaska,669,[669]
02185,North Slope Borough,Alaska,669,[669]
02188,Northwest Arctic Borough,Alaska,669,[669]
02220,Sitka City and Borough,Alaska,669,[669]
02230,Skagway Municipality,Alaska,669,[669]
02261,Valdez-Cordova Census Area,Alaska,669,[669]
02290,Yukon-Koyukuk Census Area,Alaska,669,[669]
41041,Lincoln,Oregon,751,[751]
53015,Cowlitz,Washington,751,[751]
53049,Pacific,Washington,751,[751]
41047,Marion,Oregon,751,[751]
41051,Multnomah,Oregon,751,[751]
53005,Benton,Washington,751,[751]
53007,Chelan,Washington,751,[751]
53041,Lewis,Washington,751,[751]
53053,Pierce,Washington,751,[751]
53057,Skagit,Washington,751,[751]
53061,Snohomish,Washington,751,[751]
53073,Whatcom,Washington,751,[751]
16017,Bonner,Idaho,751,[751]
16035,Clearwater,Idaho,751,[751]
16061,Lewis,Idaho,751,[751]
41001,Baker,Oregon,751,[751]
41005,Clackamas,Oregon,751,[751]
41009,Columbia,Oregon,751,[751]
41019,Douglas,Oregon,751,[751]
41053,Polk,Oregon,751,[751]
41067,Washington,Oregon,751,[751]
41071,Yamhill,Oregon,751,[751]
53059,Skamania,Washington,751,[751]
41049,Morrow,Oregon,751,[751]
53069,Wahkiakum,Washington,751,[751]
53033,King,Washington,751,[751]
53035,Kitsap,Washington,751,[751]
41033,Josephine,Oregon,751,[751]
41057,Tillamook,Oregon,751,[751]
53025,Grant,Washington,751,[751]
53039,Klickitat,Washington,751,[751]
16079,Shoshone,Idaho,751,[751]
53063,Spokane,Washington,751,[751]
41003,Benton,Oregon,751,[751]
41035,Klamath,Oregon,751,[751]
53045,Mason,Washington,751,[751]
16069,Nez Perce,Idaho,751,[751]
41025,Harney,Oregon,751,[751]
53023,Garfield,Washington,751,[751]
53013,Columbia,Washington,751,[751]
41069,Wheeler,Oregon,751,[751]
53003,Asotin,Washington,751,[751]
53009,Clallam,Washington,751,[751]
53017,Douglas,Washington,751,[751]
53029,Island,Washington,751,[751]
53037,Kittitas,Washington,751,[751]
53043,Lincoln,Washington,751,[751]
53051,Pend Oreille,Washington,751,[751]
