Date,State,Series_Complete_Yes,Booster_Doses,MMWR_week
2022-03-29,WV,1024188.0,460276.0,13
2022-03-29,WI,3787966.0,2096816.0,13
2022-03-29,WA,5484600.0,2810806.0,13
2022-03-29,VT,502605.0,298423.0,13
2022-03-29,VI,56411.0,16206.0,13
2022-03-29,VA,6189983.0,2879683.0,13
2022-03-29,UT,2044511.0,892218.0,13
2022-03-29,TX,17616705.0,6461434.0,13
2022-03-29,TN,3687563.0,1589551.0,13
2022-03-29,SD,534756.0,217882.0,13
2022-03-29,SC,2910415.0,1137198.0,13
2022-03-29,RI,863347.0,453217.0,13
2022-03-29,PW,18070.0,11260.0,13
2022-03-29,PR,2623499.0,1463501.0,13
2022-03-29,PA,8649469.0,3618489.0,13
2022-03-29,OR,2915667.0,1528350.0,13
2022-03-29,OK,2237304.0,825456.0,13
2022-03-29,OH,6782471.0,3469654.0,13
2022-03-29,NY,14811992.0,6637119.0,13
2022-03-29,NV,1854898.0,702147.0,13
2022-03-29,NM,1473957.0,719762.0,13
2022-03-29,NJ,6652255.0,3080258.0,13
2022-03-29,NH,927592.0,310408.0,13
2022-03-29,NE,1216791.0,594644.0,13
2022-03-29,ND,416299.0,167876.0,13
2022-03-29,NC,6277054.0,1629595.0,13
2022-03-29,MT,602237.0,282602.0,13
2022-03-29,MS,1531028.0,559480.0,13
2022-03-29,MP,43147.0,20292.0,13
2022-03-29,MO,3409902.0,1421707.0,13
2022-03-29,MN,3874991.0,2194683.0,13
2022-03-29,MI,5965509.0,3191570.0,13
2022-03-29,MH,25083.0,5273.0,13
2022-03-29,ME,1058679.0,578675.0,13
2022-03-29,MD,4522188.0,2253083.0,13
2022-03-29,MA,5385137.0,2712399.0,13
2022-03-29,LA,2470891.0,957124.0,13
2022-03-29,KY,2545260.0,1109013.0,13
2022-03-29,KS,1770839.0,744477.0,13
2022-03-29,IN,3667859.0,1648441.0,13
2022-03-29,IL,8640545.0,4332157.0,13
2022-03-29,ID,957696.0,396617.0,13
2022-03-29,IA,1941072.0,1016357.0,13
2022-03-29,HI,65.0,65.0,13
2022-03-29,GU,138217.0,58915.0,13
2022-03-29,GA,5748707.0,2062873.0,13
2022-03-29,FM,53505.0,11047.0,13
2022-03-29,FL,14265636.0,5587685.0,13
2022-03-29,DE,664670.0,295016.0,13
2022-03-29,DC,513751.0,186172.0,13
2022-03-29,CT,2794219.0,1420912.0,13
2022-03-29,CO,4015138.0,2042127.0,13
2022-03-29,CA,28083855.0,13897646.0,13
2022-03-29,AZ,4431582.0,1799618.0,13
2022-03-29,AS,40402.0,19225.0,13
2022-03-29,AR,1627928.0,629021.0,13
2022-03-29,AL,2482580.0,865939.0,13
2022-03-29,AK,451111.0,190688.0,13
2022-03-28,WY,295254.0,125057.0,13
2022-03-28,WV,1023852.0,459712.0,13
2022-03-28,WI,3787426.0,2095737.0,13
2022-03-28,WA,5482267.0,2806201.0,13
2022-03-28,VT,502499.0,298199.0,13
2022-03-28,VI,56402.0,16196.0,13
2022-03-28,VA,6189235.0,2878268.0,13
2022-03-28,UT,2043155.0,890360.0,13
2022-03-28,TX,17604304.0,6454136.0,13
2022-03-28,TN,3685671.0,1586630.0,13
2022-03-28,SD,534573.0,217634.0,13
