,fips,Vaccination,Masks,Close_schools,Date,week
166,22,1,0,1,2021-04-30,66
167,22,1,0,0,2021-06-23,74
168,22,0,0,0,2021-07-31,79
169,22,1,0,0,2021-08-03,80
170,22,1,0,1,2022-01-25,105
171,22,0,0,1,2022-04-22,117
172,22,0,0,0,2022-05-02,119
173,25,0,0,0,2020-01-01,-3
174,25,0,0,1,2020-03-12,7
175,25,0,1,1,2020-04-17,12
176,25,0,1,0,2020-12-01,45
177,25,0,1,1,2020-12-08,46
178,25,1,1,1,2021-04-19,65
179,25,1,0,0,2021-05-17,69
180,25,1,1,0,2021-08-27,83
181,25,1,1,1,2022-01-26,105
182,25,1,0,1,2022-03-05,110
183,25,1,0,0,2022-03-08,111
184,25,1,0,1,2022-04-12,116
185,25,0,0,0,2022-05-04,119
186,24,0,0,0,2020-01-01,-3
187,24,0,0,1,2020-03-16,8
188,24,0,1,1,2020-07-31,27
189,24,0,1,0,2020-10-17,38
190,24,0,1,1,2020-10-27,40
191,24,1,1,1,2021-04-13,64
192,24,1,0,1,2021-04-28,66
193,24,1,0,0,2021-08-13,81
194,24,0,0,0,2022-04-27,118
195,23,0,0,0,2020-01-01,-3
196,23,0,0,1,2020-03-15,7
197,23,0,0,0,2020-09-14,34
198,23,0,1,0,2020-11-04,41
199,23,1,1,0,2021-04-07,63
200,23,1,0,0,2021-04-27,66
201,23,1,0,1,2021-11-15,95
202,23,1,0,0,2021-11-23,96
203,23,1,0,1,2021-12-16,99
204,23,0,0,0,2021-12-22,100
205,23,1,0,0,2021-12-23,100
206,23,1,1,0,2022-01-25,105
207,23,1,0,0,2022-02-01,106
208,23,0,0,0,2022-05-03,119
209,26,0,0,0,2020-01-01,-3
210,26,0,0,1,2020-03-16,8
211,26,0,1,1,2020-07-17,25
212,26,1,1,1,2021-04-05,63
213,26,1,0,1,2021-06-01,71
214,26,1,0,0,2021-06-25,74
215,26,1,0,1,2021-08-27,83
216,26,0,0,0,2022-04-21,117
217,27,0,0,0,2020-01-01,-3
218,27,0,0,1,2020-03-18,8
219,27,1,0,1,2021-03-30,62
220,27,1,0,0,2021-09-08,85
221,27,0,0,0,2022-04-03,114
222,27,1,0,0,2022-04-11,116
223,27,0,0,0,2022-04-26,118
224,29,0,0,0,2020-01-01,-3
225,29,0,0,1,2020-03-17,8
226,29,0,1,1,2020-07-01,23
227,29,0,1,0,2021-01-19,52
228,29,1,1,0,2021-04-09,63
229,29,1,0,0,2021-06-06,71
230,29,0,0,0,2022-05-04,119
231,28,0,0,0,2020-01-01,-3
232,28,0,0,1,2020-03-19,8
233,28,0,1,1,2020-06-04,19
234,28,0,1,0,2020-10-15,38
235,28,0,1,1,2020-11-20,43
236,28,1,1,1,2021-03-16,60
237,28,1,1,0,2021-07-06,76
238,28,1,0,0,2021-08-02,80
239,28,0,0,0,2022-05-03,119
240,30,0,0,0,2020-01-01,-3
241,30,0,0,1,2020-03-15,7
242,30,0,1,1,2020-06-26,22
243,30,0,1,0,2020-08-24,31
244,30,0,1,1,2020-10-05,37
245,30,0,1,0,2020-10-19,39
246,30,0,1,1,2020-11-06,41
247,30,0,1,0,2020-12-01,45
248,30,0,1,1,2021-01-19,52
249,30,0,1,0,2021-02-08,55
250,30,1,1,0,2021-04-13,64
251,30,1,0,0,2021-05-07,67
252,30,1,0,1,2021-10-13,90
253,30,1,0,0,2021-10-25,92
254,30,0,0,0,2022-05-03,119
255,37,0,0,0,2020-01-01,-3
256,37,0,0,1,2020-03-16,8
257,37,0,1,1,2020-04-20,13
258,37,0,1,0,2021-03-10,59
259,37,1,1,0,2021-04-07,63
260,37,1,0,0,2021-04-30,66
261,37,1,0,1,2021-08-25,83
262,37,1,0,0,2021-10-27,92
263,37,0,0,0,2022-04-26,118
264,38,0,0,0,2020-01-01,-3
265,38,0,0,1,2020-03-16,8
266,38,0,1,1,2020-10-19,39
267,38,0,0,1,2020-12-14,47
268,38,0,1,1,2021-01-18,52
269,38,0,1,0,2021-01-19,52
270,38,0,0,0,2021-03-08,59
271,38,1,0,0,2021-03-29,62
272,38,0,0,0,2022-04-04,115
273,38,1,0,0,2022-04-11,116
274,38,0,0,0,2022-05-03,119
275,31,0,0,0,2020-01-01,-3
276,31,0,0,1,2020-03-14,7
277,31,0,0,0,2020-09-16,34
278,31,1,0,0,2021-04-05,63
279,31,1,0,1,2022-01-18,104
280,31,1,0,0,2022-02-21,109
281,31,0,0,0,2022-04-24,117
282,33,0,0,0,2020-01-01,-3
283,33,0,0,1,2020-03-16,8
284,33,0,1,1,2020-11-20,43
285,33,0,1,0,2021-03-08,59
286,33,1,1,0,2021-04-02,62
287,33,1,0,0,2021-04-23,65
288,33,0,0,0,2021-06-28,75
289,33,1,0,0,2021-06-29,75
290,33,1,0,1,2022-01-19,104
291,33,1,0,0,2022-02-01,106
292,33,0,0,0,2022-05-05,119
293,34,0,0,0,2020-01-01,-3
294,34,0,0,1,2020-03-18,8
295,34,0,1,1,2020-07-08,24
296,34,1,1,1,2021-04-19,65
297,34,1,0,1,2021-05-17,69
298,34,1,0,0,2021-06-29,75
299,34,0,0,0,2021-07-06,76
300,34,1,0,0,2021-07-07,76
301,34,0,0,0,2022-05-03,119
302,35,0,0,0,2020-01-01,-3
303,35,0,0,1,2020-03-15,7
304,35,0,1,1,2020-05-15,16
305,35,0,1,0,2021-04-03,62
306,35,1,1,0,2021-04-12,64
307,35,1,0,0,2021-06-08,72
308,35,1,0,1,2021-08-14,81
309,35,1,0,0,2021-08-28,83
310,35,1,0,1,2022-01-18,104
311,35,1,0,0,2022-01-24,105
312,35,0,0,0,2022-04-26,118
313,32,0,0,0,2020-01-01,-3
314,32,0,0,1,2020-03-16,8
315,32,0,1,1,2020-06-24,22
316,32,1,1,1,2021-04-05,63
317,32,1,1,0,2021-04-06,63
318,32,1,0,0,2021-07-16,77
319,32,0,0,0,2022-03-14,112
320,32,1,0,0,2022-03-22,113
321,32,0,0,0,2022-04-26,118
322,36,0,0,0,2020-01-01,-3
323,36,0,0,1,2020-03-12,7
324,36,0,1,1,2020-04-17,12
325,36,1,1,1,2021-04-06,63
326,36,0,0,1,2021-05-17,69
327,36,0,1,1,2021-05-19,69
328,36,1,1,1,2021-06-01,71
329,36,1,0,1,2021-08-22,82
330,36,0,0,0,2022-05-03,119
331,39,0,0,0,2020-01-01,-3
332,39,0,0,1,2020-03-16,8
333,39,0,1,1,2020-07-08,24
334,39,1,1,1,2021-03-29,62
335,39,1,0,0,2021-06-02,71
336,39,1,0,1,2022-02-02,106
337,39,1,0,0,2022-04-11,116
338,39,0,0,0,2022-04-19,117
339,39,1,0,0,2022-04-26,118
340,39,0,0,0,2022-05-03,119
341,40,0,0,0,2020-01-01,-3
342,40,0,0,1,2020-03-17,8
343,40,0,1,1,2020-07-07,24
344,40,1,1,1,2021-03-29,62
345,40,1,0,1,2021-04-30,66
346,40,1,0,0,2021-07-06,76
347,40,0,0,0,2022-03-15,112
348,40,1,0,0,2022-04-04,115
349,40,0,0,0,2022-04-13,116
350,40,1,0,0,2022-04-17,116
351,40,0,0,0,2022-04-28,118
352,41,0,0,0,2020-01-01,-3
353,41,0,0,1,2020-03-16,8
354,41,0,1,1,2020-06-24,22
355,41,0,1,0,2021-04-12,64
356,41,1,1,0,2021-04-19,65
357,41,1,0,0,2021-05-18,69
358,41,1,0,1,2021-08-23,83
359,41,1,0,0,2021-09-27,88
360,41,0,0,0,2022-05-05,119
361,42,0,0,0,2020-01-01,-3
362,42,0,0,1,2020-03-13,7
363,42,0,1,1,2020-07-01,23
364,42,1,1,1,2021-04-13,64
365,42,1,0,0,2021-06-13,72
366,42,1,1,0,2021-10-12,90
367,42,1,1,1,2021-11-15,95
368,42,1,1,0,2021-12-01,97
369,42,1,1,1,2021-12-07,98
370,42,1,1,0,2021-12-13,99
371,42,1,1,1,2021-12-21,100
372,42,1,0,0,2022-01-11,103
373,42,1,1,0,2022-04-12,116
374,42,1,0,0,2022-04-20,117
375,42,0,0,0,2022-04-28,118
376,44,0,0,0,2020-01-01,-3
