sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020/4/29,170.8356339,Northeast,MA,"Suffolk County, MA",25025
2020/4/29,0,Northeast,MA,"Town and County of Nantucket, MA",25019
2020/4/29,0,West,OR,"Yamhill County, OR",41071
2020/4/29,0,West,AZ,"Yavapai County, AZ",4025
2020/5/6,0,West,ID,"Ada County, ID",16001
2020/5/6,213.3298322,West,CO,"Arapahoe County, CO",8005
2020/5/6,0,South,FL,"Brevard County, FL",12009
2020/5/6,383.1527115,Northeast,PA,"Dauphin County, PA",42043
2020/5/6,0,West,OR,"Deschutes County, OR",41017
2020/5/6,0,West,NV,"Elko County, NV",32007
2020/5/6,277.5452785,Northeast,NJ,"Essex County, NJ",34013
2020/5/6,10.32157611,Northeast,CT,"Fairfield County, CT",9001
2020/5/6,47.79344461,South,TN,"Hamilton County, TN",47065
2020/5/6,68.36978917,Northeast,MA,"Hampshire County, MA",25015
2020/5/6,0,South,KY,"Harrison County, KY",21097
2020/5/6,929.3504704,Midwest,MN,"Hennepin County, MN",27053
2020/5/6,0,Northeast,PA,"Indiana County, PA",42063
2020/5/6,191.2752393,South,KY,"Jefferson County, KY",21111
2020/5/6,0,West,ID,"Latah County, ID",16057
2020/5/6,254.0759434,South,FL,"Miami-Dade County, FL",12086
2020/5/6,0,West,CA,"Monterey County, CA",6053
2020/5/6,719.1233807,Northeast,PA,"Montgomery County, PA",42091
2020/5/6,117.138309,West,OR,"Multnomah County, OR",41051
2020/5/6,257.403843,Northeast,DE,"New Castle County, DE",10003
2020/5/6,7.63662148,South,OK,"Oklahoma County, OK",40109
2020/5/6,1387.573248,South,FL,"Palm Beach County, FL",12099
2020/5/6,0,West,MT,"Park County, MT",30067
2020/5/6,0,Northeast,ME,"Penobscot County, ME",23019
2020/5/6,0,West,CA,"Placer County, CA",6061
2020/5/6,1019.549192,West,WA,"Skagit County, WA",53057
2020/5/6,786.1790641,South,VA,"Stafford County, VA",51179
2020/5/6,60.26707495,Midwest,IN,"Steuben County, IN",18151
2020/5/6,76.63722629,Northeast,MA,"Suffolk County, MA",25025
2020/5/6,0,Northeast,MA,"Town and County of Nantucket, MA",25019
2020/5/6,0,Northeast,RI,"Washington County, RI",44009
2020/5/6,0,West,OR,"Yamhill County, OR",41071
2020/5/6,0,West,AZ,"Yavapai County, AZ",4025
