ResState,PoWState,Workers
Colorado,Arizona,1358
Colorado,Arkansas,114
Colorado,California,2893
Colorado,Connecticut,172
Colorado,District of Columbia,257
Colorado,Florida,789
Colorado,Georgia,510
Colorado,Hawaii,233
Colorado,Idaho,66
Colorado,Illinois,1021
Colorado,Indiana,185
Colorado,Iowa,178
Colorado,Kansas,697
Colorado,Kentucky,182
Colorado,Louisiana,235
Colorado,Maine,6
Colorado,Maryland,150
Colorado,Massachusetts,304
Colorado,Michigan,392
Colorado,Minnesota,407
Colorado,Mississippi,73
Colorado,Missouri,624
Colorado,Montana,197
Colorado,Nebraska,1490
Colorado,Nevada,308
Colorado,New Hampshire,29
Colorado,New Jersey,569
Colorado,New Mexico,2764
Colorado,New York,943
Colorado,North Carolina,461
Colorado,North Dakota,1578
Colorado,Ohio,854
Colorado,Oklahoma,520
Colorado,Oregon,145
Colorado,Pennsylvania,517
Colorado,Rhode Island,14
Colorado,South Carolina,42
Colorado,South Dakota,313
Colorado,Tennessee,353
Colorado,Texas,2739
Colorado,Utah,1362
Colorado,Vermont,16
Colorado,Virginia,548
Colorado,Washington,536
Colorado,West Virginia,8
Colorado,Wisconsin,254
Colorado,Wyoming,4615
Connecticut,Alabama,29
Connecticut,Alaska,67
Connecticut,Arizona,46
Connecticut,California,701
Connecticut,Colorado,84
Connecticut,Delaware,39
Connecticut,District of Columbia,296
Connecticut,Florida,513
Connecticut,Georgia,159
Connecticut,Hawaii,17
Connecticut,Illinois,429
Connecticut,Indiana,75
Connecticut,Iowa,16
Connecticut,Kansas,4
Connecticut,Kentucky,64
Connecticut,Louisiana,63
Connecticut,Maine,302
Connecticut,Maryland,340
Connecticut,Massachusetts,21636
Connecticut,Michigan,232
Connecticut,Minnesota,102
Connecticut,Missouri,184
Connecticut,Montana,17
Connecticut,Nebraska,6
Connecticut,Nevada,114
Connecticut,New Hampshire,460
Connecticut,New Jersey,3196
Connecticut,New York,73539
Connecticut,North Carolina,222
Connecticut,North Dakota,6
Connecticut,Ohio,140
Connecticut,Oklahoma,32
Connecticut,Oregon,21
Connecticut,Pennsylvania,905
Connecticut,Puerto Rico,17
Connecticut,Rhode Island,8175
Connecticut,South Carolina,100
Connecticut,Tennessee,123
Connecticut,Texas,340
Connecticut,Utah,59
Connecticut,Vermont,327
Connecticut,Virginia,415
Connecticut,Washington,33
Connecticut,West Virginia,17
Connecticut,Wisconsin,73
Connecticut,Wyoming,21
Delaware,Arizona,38
Delaware,Arkansas,22
Delaware,California,25
Delaware,Colorado,11
Delaware,Connecticut,35
Delaware,District of Columbia,1026
Delaware,Florida,112
Delaware,Georgia,38
Delaware,Illinois,84
Delaware,Indiana,24
Delaware,Kentucky,47
Delaware,Louisiana,16
Delaware,Maryland,21350
Delaware,Massachusetts,148
Delaware,Michigan,18
Delaware,Minnesota,123
Delaware,Mississippi,19
Delaware,Missouri,7
Delaware,Nebraska,12
Delaware,Nevada,13
Delaware,New Jersey,6236
Delaware,New York,1502
Delaware,North Carolina,86
Delaware,North Dakota,8
Delaware,Ohio,97
Delaware,Oklahoma,19
Delaware,Oregon,21
Delaware,Pennsylvania,30590
Delaware,Rhode Island,3
Delaware,South Carolina,28
Delaware,Texas,179
Delaware,Utah,33
Delaware,Virginia,1173
Delaware,Washington,47
Delaware,Wisconsin,35
Delaware,Wyoming,8
District of Columbia,Alabama,16
District of Columbia,Arkansas,17
District of Columbia,California,203
District of Columbia,Colorado,14
District of Columbia,Delaware,7
District of Columbia,Florida,125
District of Columbia,Georgia,132
District of Columbia,Illinois,37
District of Columbia,Indiana,34
District of Columbia,Iowa,8
District of Columbia,Kentucky,21
District of Columbia,Louisiana,11
District of Columbia,Maryland,43173
District of Columbia,Massachusetts,241
District of Columbia,Michigan,63
District of Columbia,Minnesota,20
District of Columbia,Missouri,20
District of Columbia,Nebraska,7
