source,target,correlation
Indiana,Nebraska,0.7167415794004302
Indiana,New Hampshire,0.794035746980548
Indiana,New Jersey,0.8909683195274076
Indiana,New Mexico,0.8097049333475101
Indiana,New York,0.9270990873432666
Indiana,North Dakota,0.7569947098984018
Indiana,Ohio,0.8457312568603954
Indiana,Pennsylvania,0.9495200089342002
Indiana,South Dakota,0.7477357267288292
Iowa,Colorado,0.774408096904722
Iowa,Connecticut,0.7838789621745934
Iowa,Delaware,0.7279304892344607
Iowa,District of Columbia,0.7671117259092602
Iowa,Idaho,0.7172389874632173
Iowa,Illinois,0.8593884304175459
Iowa,Indiana,0.8891828867972124
Iowa,Massachusetts,0.857031684137474
Iowa,Michigan,0.795104468864822
Iowa,Minnesota,0.7959894750351959
Iowa,Nebraska,0.7904499868964072
Iowa,Nevada,0.72788437985789
Iowa,New Jersey,0.8198671133814328
Iowa,New Mexico,0.7356341134131855
Iowa,New York,0.790161478369094
Iowa,North Carolina,0.7500608963870785
Iowa,North Dakota,0.8150120742886104
Iowa,Ohio,0.8381778139238248
Iowa,Pennsylvania,0.860515634018959
Iowa,South Dakota,0.823027298902541
Iowa,Washington,0.7807833475355264
Iowa,Wyoming,0.7379937220587505
Kentucky,Arkansas,0.7935238570991916
Kentucky,Florida,0.7078040429768421
Kentucky,Oklahoma,0.7410604490400506
Louisiana,California,0.9161583396597155
Louisiana,Florida,0.7721469338659265
Louisiana,Georgia,0.9216548572991716
Louisiana,Hawaii,0.8183228699135875
Louisiana,Idaho,0.7138091954363017
Louisiana,Mississippi,0.8394472471686804
Louisiana,Missouri,0.745404741382219
Louisiana,Nevada,0.8736352514958687
Louisiana,North Carolina,0.8940615796910439
Louisiana,South Carolina,0.7882069919242132
Louisiana,Texas,0.925658749180113
Louisiana,Virgin Islands,0.8161630733350128
Louisiana,Washington,0.8888139157446425
Louisiana,West Virginia,0.7203618394653746
Maine,Montana,0.7296656228485127
Maryland,Connecticut,0.8268982505276335
Maryland,District of Columbia,0.7406678987235367
Maryland,Illinois,0.8867529449923035
Maryland,Indiana,0.820807141146005
Maryland,Massachusetts,0.8103281377044891
Maryland,Michigan,0.7372765282287203
Maryland,Minnesota,0.7515043347157406
Maryland,New Hampshire,0.8023298555436595
Maryland,New Jersey,0.852413785704647
Maryland,New York,0.9087457345651846
Maryland,Ohio,0.7692784334700096
Maryland,Pennsylvania,0.8238342451273903
Massachusetts,Colorado,0.8054130518254401
Massachusetts,Connecticut,0.9031981649603578
Massachusetts,Delaware,0.7258612437913894
Massachusetts,District of Columbia,0.7219664908495937
Massachusetts,Idaho,0.7230060915396895
Massachusetts,Illinois,0.9597220109092803
Massachusetts,Indiana,0.8840185710627739
Massachusetts,Iowa,0.857031684137474
Massachusetts,Maryland,0.8103281377044891
Massachusetts,Michigan,0.77331240121633
Massachusetts,Minnesota,0.7928925712824677
Massachusetts,Nebraska,0.7120201750026462
Massachusetts,Nevada,0.7461010881565784
Massachusetts,New Hampshire,0.7367483629163512
Massachusetts,New Jersey,0.939394967687147
Massachusetts,New York,0.8936476781897746
Massachusetts,North Carolina,0.748131895154313
Massachusetts,North Dakota,0.8095758909267478
Massachusetts,Ohio,0.9269028482252896
Massachusetts,Pennsylvania,0.9000026321653222
Massachusetts,South Dakota,0.8563141438920828
Massachusetts,Washington,0.7371189185031319
Michigan,Colorado,0.813200848604761
Michigan,Illinois,0.8167502830535978
Michigan,Indiana,0.8989686264999892
Michigan,Iowa,0.795104468864822
Michigan,Maryland,0.7372765282287203
Michigan,Massachusetts,0.77331240121633
Michigan,Minnesota,0.9620808394494618
Michigan,New Hampshire,0.895133407197562
Michigan,New Jersey,0.7024019087730466
Michigan,New Mexico,0.8848834624634049
Michigan,New York,0.788039889374762
Michigan,North Dakota,0.8335461749376316
Michigan,Ohio,0.79961734928358
Michigan,Pennsylvania,0.9241857069711623
Michigan,South Dakota,0.7463993731301832
Michigan,Wyoming,0.7189736143197161
Minnesota,Colorado,0.8656161944315357
Minnesota,Illinois,0.8114026343295915
Minnesota,Indiana,0.8876320915248199
Minnesota,Iowa,0.7959894750351959
Minnesota,Maryland,0.7515043347157406
Minnesota,Massachusetts,0.7928925712824677
Minnesota,Michigan,0.9620808394494618
Minnesota,New Hampshire,0.8843592568157614
Minnesota,New Jersey,0.7050399130926107
Minnesota,New Mexico,0.8725169240611089
Minnesota,New York,0.7656556453900483
Minnesota,North Dakota,0.8411280786203872
Minnesota,Ohio,0.7975292872899077
Minnesota,Pennsylvania,0.9388341394269454
