source,target,correlation
Alabama,Arizona,0.9120234573509634
Alabama,Arkansas,0.7763608763669146
Alabama,California,0.914239971526835
Alabama,Connecticut,0.7490369163724305
Alabama,Delaware,0.7112268005819473
Alabama,District of Columbia,0.8805110881068867
Alabama,Florida,0.904054127016192
Alabama,Georgia,0.8996957124884869
Alabama,Hawaii,0.7826029152030755
Alabama,Iowa,0.8014882905885147
Alabama,Kansas,0.7813586945360115
Alabama,Louisiana,0.863026203650275
Alabama,Maine,0.7898286220367883
Alabama,Maryland,0.7583272320542173
Alabama,Massachusetts,0.8081064269548076
Alabama,Mississippi,0.8500861712765471
Alabama,Missouri,0.7374641122852196
Alabama,Nevada,0.8587085316666683
Alabama,New Hampshire,0.721737591678141
Alabama,New Jersey,0.7649388472474757
Alabama,New Mexico,0.7237431581447287
Alabama,New York,0.8760944468266396
Alabama,North Carolina,0.9430348725451793
Alabama,Oklahoma,0.8484664528397272
Alabama,Oregon,0.736551839991957
Alabama,Pennsylvania,0.7374551646446779
Alabama,South Carolina,0.9342628688962465
Alabama,Tennessee,0.8988305066208145
Alabama,Texas,0.908634255179754
Alabama,Utah,0.7646166250851698
Alabama,Washington,0.7800827274946581
Alabama,West Virginia,0.7185774993200332
Alabama,Wyoming,0.7109371153026135
Arizona,Alabama,0.9120234573509634
Arizona,Arkansas,0.901217176569562
Arizona,California,0.9653682793789303
Arizona,Connecticut,0.914855170965809
Arizona,Delaware,0.7038867186618544
Arizona,District of Columbia,0.884792363808449
Arizona,Florida,0.898583526144254
Arizona,Georgia,0.8193446858108611
Arizona,Hawaii,0.7471621152552348
Arizona,Idaho,0.8209794861434595
Arizona,Illinois,0.7558375950673079
Arizona,Indiana,0.8272727731560094
Arizona,Iowa,0.8176677756700828
Arizona,Kansas,0.918566289170176
Arizona,Louisiana,0.9484965378927761
Arizona,Maine,0.8902480093068467
Arizona,Maryland,0.898774239848614
Arizona,Massachusetts,0.9352682972743813
Arizona,Mississippi,0.9595831809731484
Arizona,Missouri,0.8585884583139076
Arizona,Montana,0.7118034773841587
Arizona,Nebraska,0.8008684315617978
Arizona,Nevada,0.9648909217061815
Arizona,New Hampshire,0.8725167138229175
Arizona,New Jersey,0.9049700718522863
Arizona,New Mexico,0.8976583018857012
Arizona,New York,0.9470540329263583
Arizona,North Carolina,0.9728206327057674
Arizona,Ohio,0.7878370894489418
Arizona,Oklahoma,0.8694936851207479
Arizona,Oregon,0.8308945474372039
Arizona,Pennsylvania,0.897035507686401
Arizona,Rhode Island,0.7850464330050302
Arizona,South Carolina,0.9030254239469866
Arizona,South Dakota,0.7745802554732086
Arizona,Tennessee,0.9527527446191014
Arizona,Texas,0.9489746136674211
Arizona,Utah,0.9001777747646662
Arizona,Washington,0.9295929430555685
Arizona,West Virginia,0.8698943019486722
Arizona,Wisconsin,0.772947246268403
Arizona,Wyoming,0.8847455496640633
Arkansas,Alabama,0.7763608763669146
Arkansas,Arizona,0.901217176569562
Arkansas,California,0.8819484486841095
Arkansas,Colorado,0.8198265308858225
Arkansas,Connecticut,0.961129009961271
Arkansas,District of Columbia,0.8680073437220678
Arkansas,Florida,0.7626303892216912
Arkansas,Idaho,0.9438909570266096
Arkansas,Illinois,0.8987089436182986
Arkansas,Indiana,0.9197861565150856
Arkansas,Iowa,0.8624621259546443
Arkansas,Kansas,0.9185888819303908
Arkansas,Louisiana,0.9671291056735573
Arkansas,Maine,0.8096869289875861
Arkansas,Maryland,0.9526602818034998
Arkansas,Massachusetts,0.931685758380538
Arkansas,Minnesota,0.8266745654432767
Arkansas,Mississippi,0.9656370117679713
Arkansas,Missouri,0.897425148846854
Arkansas,Montana,0.7684276861718864
Arkansas,Nebraska,0.9094738235902381
Arkansas,Nevada,0.9517725286937964
Arkansas,New Hampshire,0.9377140726909788
Arkansas,New Jersey,0.9111122014678812
Arkansas,New Mexico,0.9634274620613827
Arkansas,New York,0.9134120120174039
Arkansas,North Carolina,0.871074464292146
Arkansas,North Dakota,0.7787812060506066
Arkansas,Ohio,0.8112171098111127
Arkansas,Oklahoma,0.7945819141970801
Arkansas,Oregon,0.8627526206701558
Arkansas,Pennsylvania,0.9493302319139679
Arkansas,Rhode Island,0.791512999609285
Arkansas,South Carolina,0.797655554069991
Arkansas,South Dakota,0.9181466524686811
Arkansas,Tennessee,0.9129004277776018
Arkansas,Texas,0.8762241844455392
Arkansas,Utah,0.9102468524172298
Arkansas,Vermont,0.7392129917202642
Arkansas,Washington,0.8876094825684133
Arkansas,West Virginia,0.9454778086765218
Arkansas,Wisconsin,0.8853642696781459
Arkansas,Wyoming,0.9287189072354921
California,Alabama,0.914239971526835
California,Arizona,0.9653682793789303
California,Arkansas,0.8819484486841095
California,Connecticut,0.8698371378535128
California,Delaware,0.7477141806619727
California,District of Columbia,0.8818910183367304
California,Florida,0.9441092223555871
California,Georgia,0.8841002310693072
California,Hawaii,0.7702946725417776
California,Idaho,0.7693873055476996
California,Indiana,0.7649249663253844
California,Iowa,0.7973479186483053
California,Kansas,0.8932445109358728
California,Louisiana,0.9434774544293468
California,Maine,0.8425850974681387
California,Maryland,0.8572754298781924
California,Massachusetts,0.9477111409174489
California,Mississippi,0.9406315019594176
California,Missouri,0.8241330185254138
California,Nebraska,0.7414504036271511
California,Nevada,0.9284471872651323
California,New Hampshire,0.8220785979835091
California,New Jersey,0.9226406100854622
California,New Mexico,0.8651941119145593
California,New York,0.9749494742585344
California,North Carolina,0.9644891268410274
California,Ohio,0.8381610782171778
California,Oklahoma,0.9339428946943159
California,Oregon,0.7628996196416789
California,Pennsylvania,0.8329142930805071
California,Rhode Island,0.7739119752420581
California,South Carolina,0.9385774913812877
California,South Dakota,0.7022009529266251
California,Tennessee,0.913358449757064
California,Texas,0.9792378373790032
California,Utah,0.9125922310398804
California,Washington,0.875791387615104
California,West Virginia,0.81282079922797
California,Wyoming,0.818201966717669
Colorado,Arkansas,0.8198265308858225
Colorado,Connecticut,0.8462531338783493
Colorado,Idaho,0.9070298741869169
Colorado,Illinois,0.9666356035121659
Colorado,Indiana,0.9102892658209364
Colorado,Iowa,0.7114158853345971
Colorado,Kansas,0.7648832232663163
Colorado,Louisiana,0.7187952870889901
Colorado,Maryland,0.8254242808811822
Colorado,Michigan,0.8247765128761093
Colorado,Minnesota,0.9748521872792473
Colorado,Mississippi,0.7466195455140514
Colorado,Missouri,0.7965883406091734
Colorado,Nebraska,0.9037905947369446
Colorado,Nevada,0.751719526534168
Colorado,New Hampshire,0.8369055303788793
Colorado,New Mexico,0.8432910162509794
Colorado,North Dakota,0.9554515068086391
Colorado,Oregon,0.7905504274611725
Colorado,Pennsylvania,0.8662021322656548
Colorado,South Dakota,0.9457696585261872
Colorado,Tennessee,0.716208577443253
Colorado,Utah,0.713763669731833
Colorado,Vermont,0.7382866188381588
Colorado,Washington,0.7422965279515309
Colorado,West Virginia,0.8349959439878827
Colorado,Wisconsin,0.8983634693765521
Colorado,Wyoming,0.8664282757266565
Connecticut,Alabama,0.7490369163724305
Connecticut,Arizona,0.914855170965809
Connecticut,Arkansas,0.961129009961271
Connecticut,California,0.8698371378535128
Connecticut,Colorado,0.8462531338783493
Connecticut,District of Columbia,0.8606510479347163
Connecticut,Florida,0.764694680992684
Connecticut,Idaho,0.9529910936789541
Connecticut,Illinois,0.9356693606528113
Connecticut,Indiana,0.9520922716350184
Connecticut,Iowa,0.8235192384745548
Connecticut,Kansas,0.9374855063221044
Connecticut,Louisiana,0.9367177399324571
Connecticut,Maine,0.843311298185727
Connecticut,Maryland,0.9720431429776157
Connecticut,Massachusetts,0.9276303014540962
Connecticut,Michigan,0.7163940724298218
Connecticut,Minnesota,0.8525374728368286
Connecticut,Mississippi,0.9600695100165227
Connecticut,Missouri,0.9008692916904877
Connecticut,Montana,0.7698648099612841
Connecticut,Nebraska,0.9485964948469583
Connecticut,Nevada,0.962646087486185
Connecticut,New Hampshire,0.9588545950209386
Connecticut,New Jersey,0.9322861724553816
Connecticut,New Mexico,0.9748027257011834
Connecticut,New York,0.9102516497428877
Connecticut,North Carolina,0.8712247866291154
Connecticut,North Dakota,0.7964552353349879
Connecticut,Ohio,0.7938989587585609
Connecticut,Oklahoma,0.7721420423523152
Connecticut,Oregon,0.8697259139575585
Connecticut,Pennsylvania,0.9760631200597054
Connecticut,Rhode Island,0.8350570473867247
Connecticut,South Carolina,0.7817189838233828
Connecticut,South Dakota,0.9245358972456108
Connecticut,Tennessee,0.915065928617735
Connecticut,Texas,0.8446906848470848
Connecticut,Utah,0.90948636165845
Connecticut,Vermont,0.7920567028644165
Connecticut,Washington,0.9194562336807836
Connecticut,West Virginia,0.9467076402366369
Connecticut,Wisconsin,0.8812652471617656
Connecticut,Wyoming,0.9637308117585722
Delaware,Alabama,0.7112268005819473
Delaware,Arizona,0.7038867186618544
Delaware,California,0.7477141806619727
Delaware,Florida,0.8255201015968632
Delaware,Georgia,0.7955829166576794
Delaware,Iowa,0.7013607072701107
Delaware,Kansas,0.7744446692485475
Delaware,Massachusetts,0.7424705671239212
Delaware,Missouri,0.7512403285780574
Delaware,New Jersey,0.7078245410850863
Delaware,New York,0.7403686865931473
Delaware,North Carolina,0.7871546364811765
Delaware,Ohio,0.7488430856299991
Delaware,Oklahoma,0.7720340588947173
Delaware,Rhode Island,0.7531308060353794
Delaware,South Carolina,0.7651853349826767
Delaware,Tennessee,0.7128349768948945
Delaware,Texas,0.7561523254670701
District of Columbia,Alabama,0.8805110881068867
District of Columbia,Arizona,0.884792363808449
District of Columbia,Arkansas,0.8680073437220678
District of Columbia,California,0.8818910183367304
District of Columbia,Connecticut,0.8606510479347163
District of Columbia,Florida,0.8436459350917761
District of Columbia,Georgia,0.7392173795149328
District of Columbia,Idaho,0.7992588492470017
District of Columbia,Illinois,0.7408634236836937
District of Columbia,Indiana,0.8007612078369178
